Row_ID,SKU,Seller_ID,Seller_Name,Category,Brand,Model_Name,Model_Number,UPC,GTIN,Title,Description,Price_USD,Weight_lbs,Stock_Quantity,Primary_Image_URL,Specifications,Listing_Date,Last_Updated,Is_Active,Data_Quality_Issue
11,BB-MKT-00900,S005,ConnectPro Sales,Headphones,Apple,Studio Pro,AP-9242-SL,717091634913,0717091634913,Apple Studio Pro In-ear Wireless Headphones,Enjoy crystal-clear audio with the Apple Studio Pro. Perfect for music lovers and remote workers.,354.48,0.23,387,https://images.bestbuy.com/marketplace/apple-studio-pro-main.jpg,Type: In-ear | Connectivity: Wireless | ANC: No | Battery_Hours: 30,2024-10-02,2024-10-02,Yes,
12,BB-MKT-00826,S005,ConnectPro Sales,TVs,Sony,Bravia XR,SO-9627-BK,929014709335,0929014709335,"Sony 65"" 4K UHD Smart TV Bravia XR",Immerse yourself in stunning visuals with the Sony Bravia XR. Features cutting-edge display technology.,2129.62,42.82,21,https://images.bestbuy.com/marketplace/sony-bravia-xr-main.jpg,"Screen_Size: 65"" | Resolution: 4K UHD | Smart_TV: Yes | HDR: HDR10",2024-09-19,2024-09-19,Yes,
13,BB-MKT-00633,S006,NextGen Devices,Laptops,Dell,VivoBook 16,DE-9693-SL,235729166419,0235729166419,"Dell VivoBook 16 14"" Laptop - 64GB RAM 1024GB SSD",Experience premium performance with the Dell VivoBook 16. Designed for professionals and students alike.,2396.23,2.4,127,https://images.bestbuy.com/marketplace/dell-vivobook-16-main.jpg,"RAM_GB: 64 | Storage_GB: 1024 | Screen_Size: 14"" | Processor: Intel i5",2025-01-05,2025-01-05,Yes,
14,BB-MKT-00757,S008,DigitalHub USA,Headphones,Apple,Tour One,AP-8935-BK,670764098449,0670764098449,Apple Tour One Over-ear Wired Headphones,Enjoy crystal-clear audio with the Apple Tour One. Perfect for music lovers and remote workers.,169.37,0.33,327,https://images.bestbuy.com/marketplace/apple-tour-one-main.jpg,Type: Over-ear | Connectivity: Wired | ANC: No | Battery_Hours: 30,2024-07-11,2024-07-11,Yes,
15,BB-MKT-00086,S008,DigitalHub USA,Tablets,Lenovo,iPad Pro 12.9,LE-8770-BK,852274855980,0852274855980,"Lenovo iPad Pro 12.9 12.4"" 256GB Tablet",Stay productive and entertained with the Lenovo iPad Pro 12.9. Powerful performance in a sleek design.,253.91,0.35,221,https://images.bestbuy.com/marketplace/lenovo-ipad-pro-12.9-main.jpg,"Storage_GB: 256 | Screen_Size: 12.4"" | Cellular: No | RAM_GB: 8",2024-08-19,2024-08-19,Yes,
16,BB-MKT-00189,S003,PrimeElectronics,Smart Home,Nest,Learning Thermostat,NE-9804-WH,633373750765,0633373750765,Nest Learning Thermostat Smart Home Device,Transform your home with the Nest Learning Thermostat. Easy setup and seamless smart home integration.,289.81,0.79,71,https://images.bestbuy.com/marketplace/nest-learning-thermostat-main.jpg,Connectivity: Zigbee | Voice_Assistant: None | Power: Wired,2024-10-04,2024-10-04,Yes,
17,BB-MKT-00407,S003,PrimeElectronics,Tablets,Lenovo,iPad Pro 12.9,LE-6606-WH,965724580023,0466172926771,"Lenovo iPad Pro 12.9 10.1"" 256GB Tablet",Stay productive and entertained with the Lenovo iPad Pro 12.9. Powerful performance in a sleek design.,348.05,0.7,378,https://images.bestbuy.com/marketplace/lenovo-ipad-pro-12.9-main.jpg,"Storage_GB: 256 | Screen_Size: 10.1"" | Cellular: No | RAM_GB: 12",2025-04-20,2025-04-20,Yes,GTIN_UPC_MISMATCH
18,BB-MKT-00004,S002,EliteGadgets Inc,Smart Home,Ring,Hue Starter Kit,RI-4733-SL,147543377362,0147543377362,Ring Hue Starter Kit Smart Home Device,Transform your home with the Ring Hue Starter Kit. Easy setup and seamless smart home integration.,492.05,1.3,443,https://images.bestbuy.com/marketplace/ring-hue-starter-kit-main.jpg,Connectivity: Z-Wave | Voice_Assistant: Google Assistant | Power: USB-C,2024-08-21,2024-08-21,Yes,
19,BB-MKT-00729,S004,ValueTech Store,Headphones,Bose,Momentum 4,BO-5505-BK,158666065098,0158666065098,Bose Momentum 4 Over-ear Both Headphones,Enjoy crystal-clear audio with the Bose Momentum 4. Perfect for music lovers and remote workers.,515.19,0.36,326,https://images.bestbuy.com/marketplace/bose-momentum-4-main.jpg,Type: Over-ear | Connectivity: Both | ANC: No | Battery_Hours: 30,2025-04-23,2025-04-23,Yes,
20,BB-MKT-00319,S008,DigitalHub USA,Tablets,Apple,Galaxy Tab S9,AP-4795-WH,,0669128469380,"Apple Galaxy Tab S9 10.1"" 256GB Tablet",Stay productive and entertained with the Apple Galaxy Tab S9. Powerful performance in a sleek design.,924.13,0.52,335,https://images.bestbuy.com/marketplace/apple-galaxy-tab-s9-main.jpg,"Storage_GB: 256 | Screen_Size: 10.1"" | Cellular: Yes | RAM_GB: 16",2024-07-01,2024-07-01,Yes,MISSING_UPC
21,BB-MKT-00247,S002,EliteGadgets Inc,Smart Home,Nest,Nest Hub Max,NE-1541-BL,370830447947,0370830447947,Nest Nest Hub Max Smart Home Device,Transform your home with the Nest Nest Hub Max. Easy setup and seamless smart home integration.,48.28,0.6,101,https://images.bestbuy.com/marketplace/nest-nest-hub-max-main.jpg,Connectivity: Wi-Fi | Voice_Assistant: Google Assistant | Power: Battery,2024-11-18,2024-11-18,Yes,DUPLICATE_SKU
22,BB-MKT-00230,S002,EliteGadgets Inc,Headphones,Apple,AirPods Max,AP-3854-SL,450680559005,0450680559005,Apple AirPods Max Over-ear Wireless Headphones,Enjoy crystal-clear audio with the Apple AirPods Max. Perfect for music lovers and remote workers.,145.08,0.35,89,https://images.bestbuy.com/marketplace/apple-airpods-max-main.jpg,Type: Over-ear | Connectivity: Wireless | ANC: No | Battery_Hours: 36,2025-01-10,2025-01-10,Yes,
23,BB-MKT-00185,S001,TechDirect LLC,Headphones,Jabra,WH-1000XM5,JA-3623-SL,706339659651,0706339659651,Jabra WH-1000XM5 In-ear Wireless Headphones,Enjoy crystal-clear audio with the Jabra WH-1000XM5. Perfect for music lovers and remote workers.,320.12,0.44,118,https://images.bestbuy.com/marketplace/jabra-wh-1000xm5-main.jpg,Type: In-ear | Connectivity: Wireless | ANC: Yes | Battery_Hours: 40,2025-01-24,2025-01-24,Yes,
24,BB-MKT-00359,S001,TechDirect LLC,Headphones,Sennheiser,WH-1000XM5,SE-6159-BK,332881230114,0332881230114,Sennheiser WH-1000XM5 In-ear Wireless Headphones,Enjoy crystal-clear audio with the Sennheiser WH-1000XM5. Perfect for music lovers and remote workers.,430.19,0.44,421,https://images.bestbuy.com/marketplace/sennheiser-wh-1000xm5-main.jpg,Type: In-ear | Connectivity: Wireless | ANC: No | Battery_Hours: 20,2024-11-19,2024-11-19,Yes,
25,BB-MKT-00513,S001,TechDirect LLC,Headphones,Sennheiser,Momentum 4,SE-1673-WH,718012404580,0718012404580,Sennheiser Momentum 4 On-ear Wired Headphones,Enjoy crystal-clear audio with the Sennheiser Momentum 4. Perfect for music lovers and remote workers.,164.35,0.33,0,https://images.bestbuy.com/marketplace/sennheiser-momentum-4-main.jpg,Type: On-ear | Connectivity: Wired | ANC: No | Battery_Hours: 30,2024-12-21,2023-11-30,Yes,STALE_LISTING
26,BB-MKT-00453,S004,ValueTech Store,TVs,Sony,Bravia XR,SO-7108-SL,168953380650,0168953380650,"Sony 55"" 1080p Full HD Smart TV Bravia XR",Immerse yourself in stunning visuals with the Sony Bravia XR. Features cutting-edge display technology.,1945.54,30.06,424,https://images.bestbuy.com/marketplace/sony-bravia-xr-main.jpg,"Screen_Size: 55"" | Resolution: 1080p Full HD | Smart_TV: No | HDR: Dolby Vision",2024-09-01,2024-09-01,Yes,
27,BB-MKT-00845,S007,SmartBuy Co,Headphones,Bose,Evolve2 85,BO-1091-SL,312712561451,0312712561451,Bose Evolve2 85 Over-ear Wireless Headphones,Enjoy crystal-clear audio with the Bose Evolve2 85. Perfect for music lovers and remote workers.,3839.84,0.43,468,https://images.bestbuy.com/marketplace/bose-evolve2-85-main.jpg,Type: Over-ear | Connectivity: Wireless | ANC: No | Battery_Hours: 30,2024-11-07,2024-11-07,Yes,PRICE_ANOMALY
28,BB-MKT-00932,S003,PrimeElectronics,Headphones,Apple,Tour One,AP-9370-WH,534576011084,0534576011084,Apple Tour One On-ear Both Headphones,Enjoy crystal-clear audio with the Apple Tour One. Perfect for music lovers and remote workers.,102.69,0.37,397,https://images.bestbuy.com/marketplace/apple-tour-one-main.jpg,Type: On-ear | Connectivity: Both | ANC: Yes | Battery_Hours: 40,2024-07-09,2024-07-09,Yes,
29,BB-MKT-00799,S004,ValueTech Store,Tablets,Apple,Fire HD 10,AP-5227-SL,299460168950,0299460168950,"Apple Fire HD 10 11"" 64GB Tablet",Stay productive and entertained with the Apple Fire HD 10. Powerful performance in a sleek design.,447.47,0.6,116,https://images.bestbuy.com/marketplace/apple-fire-hd-10-main.jpg,"Storage_GB: 64 | Screen_Size: 11"" | Cellular: No | RAM_GB: 4",2024-09-28,2024-09-28,Yes,
30,BB-MKT-00448,S001,TechDirect LLC,Tablets,Amazon,iPad Pro 12.9,AM-2605-BL,979651034336,0979651034336,"Amazon iPad Pro 12.9 12.9"" 512GB Tablet",Stay productive and entertained with the Amazon iPad Pro 12.9. Powerful performance in a sleek design.,718.58,0.35,385,https://images.bestbuy.com/marketplace/amazon-ipad-pro-12.9-main.jpg,"Storage_GB: 512 | Screen_Size: 12.9"" | Cellular: No | RAM_GB: 12",2024-07-07,2024-07-07,Yes,
31,BB-MKT-00721,S007,SmartBuy Co,Smart Home,Philips,Video Doorbell Pro 2,PH-3898-WH,509861786750,0509861786750,Philips Video Doorbell Pro 2 Smart Home Device,Transform your home with the Philips Video Doorbell Pro 2. Easy setup and seamless smart home integration.,284.1,0.63,432,https://images.bestbuy.com/marketplace/philips-video-doorbell-pro-2-main.jpg,Connectivity: Wi-Fi | Voice_Assistant: Google Assistant | Power: Wired,2025-02-09,2025-02-09,Yes,
32,BB-MKT-00306,S005,ConnectPro Sales,Tablets,Samsung,Fire HD 10,SA-1108-WH,631685415257,0631685415257,"Samsung Fire HD 10 11"" 512GB Tablet",Stay productive and entertained with the Samsung Fire HD 10. Powerful performance in a sleek design.,654.88,0.44,263,https://images.bestbuy.com/marketplace/samsung-fire-hd-10-main.jpg,"Storage_GB: 512 | Screen_Size: 11"" | Cellular: No | RAM_GB: 12",2024-11-21,2024-11-21,Yes,
33,BB-MKT-00700,S003,PrimeElectronics,Smart Home,Google,Echo Show 10,GO-5227-SL,707541577390,0707541577390,Google Echo Show 10 Smart Home Device,Transform your home with the Google Echo Show 10. Easy setup and seamless smart home integration.,362.4,0.69,0,https://images.bestbuy.com/marketplace/google-echo-show-10-main.jpg,Connectivity: Bluetooth | Voice_Assistant: None | Power: USB-C,2024-11-17,2023-12-06,Yes,STALE_LISTING
34,BB-MKT-00246,S005,ConnectPro Sales,Tablets,Amazon,iPad Pro 12.9,AM-9462-SL,635758278399,0635758278399,"Amazon iPad Pro 12.9 12.4"" 128GB Tablet",Stay productive and entertained with the Amazon iPad Pro 12.9. Powerful performance in a sleek design.,1093.17,0.61,0,https://images.bestbuy.com/marketplace/amazon-ipad-pro-12.9-main.jpg,"Storage_GB: 128 | Screen_Size: 12.4"" | Cellular: Yes | RAM_GB: 12",2024-08-03,2023-11-20,Yes,STALE_LISTING
35,BB-MKT-00815,S004,ValueTech Store,Headphones,Bose,WH-1000XM5,BO-9813-WH,696530775578,0696530775578,Bose WH-1000XM5 Over-ear Both Headphones,Enjoy crystal-clear audio with the Bose WH-1000XM5. Perfect for music lovers and remote workers.,32.47,0.41,13,https://images.bestbuy.com/marketplace/bose-wh-1000xm5-main.jpg,Type: Over-ear | Connectivity: Both | ANC: Yes | Battery_Hours: 20,2025-01-06,2025-01-06,Yes,
36,BB-MKT-00969,S002,EliteGadgets Inc,TVs,TCL,OLED C3,TC-4375-BK,520572158394,0520572158394,"TCL 75"" 1080p Full HD Smart TV OLED C3",Immerse yourself in stunning visuals with the TCL OLED C3. Features cutting-edge display technology.,3715.17,8.21,123,https://images.bestbuy.com/marketplace/tcl-oled-c3-main.jpg,"Screen_Size: 75"" | Resolution: 1080p Full HD | Smart_TV: Yes | HDR: HDR10",2024-12-17,2024-12-17,Yes,
37,BB-MKT-00780,S004,ValueTech Store,Headphones,JBL,Tour One,JB-8111-WH,279281185915,0279281185915,JBL Tour One In-ear Wired Headphones,Enjoy crystal-clear audio with the JBL Tour One. Perfect for music lovers and remote workers.,73.73,0.21,491,https://images.bestbuy.com/marketplace/jbl-tour-one-main.jpg,Type: In-ear | Connectivity: Wired | ANC: Yes | Battery_Hours: 24,2024-08-19,2024-08-19,Yes,
38,BB-MKT-01000,S008,DigitalHub USA,Smart Home,Arlo,Nest Hub Max,AR-2003-BL,751444143907,0751444143907,Arlo Nest Hub Max Smart Home Device,Transform your home with the Arlo Nest Hub Max. Easy setup and seamless smart home integration.,115.92,0.11,90,https://images.bestbuy.com/marketplace/arlo-nest-hub-max-main.jpg,Connectivity: Bluetooth | Voice_Assistant: Apple HomeKit | Power: USB-C,2024-10-10,2024-10-10,Yes,
39,BB-MKT-00644,S006,NextGen Devices,TVs,Lenovo,iPad Pro 12.9,LE-3144-SL,204770454921,0204770454921,"Lenovo iPad Pro 12.9 11"" 256GB Tablet",Stay productive and entertained with the Lenovo iPad Pro 12.9. Powerful performance in a sleek design.,1014.11,0.65,412,https://images.bestbuy.com/marketplace/lenovo-ipad-pro-12.9-main.jpg,"Storage_GB: 256 | Screen_Size: 11"" | Cellular: Yes | RAM_GB: 16",2024-07-28,2024-07-28,Yes,CATEGORY_MISMATCH
40,BB-MKT-00572,S001,TechDirect LLC,Headphones,JBL,Studio Pro,JB-6922-BK,643169854042,0643169854042,JBL Studio Pro On-ear Wired Headphones,Enjoy crystal-clear audio with the JBL Studio Pro. Perfect for music lovers and remote workers.,488.58,0.26,0,https://images.bestbuy.com/marketplace/jbl-studio-pro-main.jpg,Type: On-ear | Connectivity: Wired | ANC: Yes | Battery_Hours: 40,2025-02-01,2023-11-27,Yes,STALE_LISTING
41,BB-MKT-00038,S007,SmartBuy Co,Laptops,HP,Katana 15,HP-1096-SL,625619734196,0625619734196,"HP Katana 15 13.3"" Laptop - 64GB RAM 512GB SSD",Experience premium performance with the HP Katana 15. Designed for professionals and students alike.,1026.09,1.82,456,https://images.bestbuy.com/marketplace/hp-katana-15-main.jpg,"RAM_GB: 64 | Storage_GB: 512 | Screen_Size: 13.3"" | Processor: Apple M2",2025-01-31,2025-01-31,Yes,
42,BB-MKT-00522,S005,ConnectPro Sales,TVs,Samsung,Bravia XR,SA-6882-BK,244325991971,0244325991971,"Samsung 65"" 8K Smart TV Bravia XR",Immerse yourself in stunning visuals with the Samsung Bravia XR. Features cutting-edge display technology.,3369.2,30.56,250,https://images.bestbuy.com/marketplace/samsung-bravia-xr-main.jpg,"Screen_Size: 65"" | Resolution: 8K | Smart_TV: No | HDR: HDR10+",2025-02-14,2025-02-14,Yes,
43,BB-MKT-00344,S008,DigitalHub USA,Headphones,JBL,Evolve2 85,JB-7429-BK,392298458992,0392298458992,JBL Evolve2 85 Over-ear Wired Headphones,Enjoy crystal-clear audio with the JBL Evolve2 85. Perfect for music lovers and remote workers.,311.46,0.25,458,https://images.bestbuy.com/marketplace/jbl-evolve2-85-main.jpg,Type: Over-ear | Connectivity: Wired | ANC: Yes | Battery_Hours: 24,2024-11-06,2024-11-06,Yes,
44,BB-MKT-00239,S005,ConnectPro Sales,Smart Home,Amazon,Nest Hub Max,AM-9871-BL,986239835712,0986239835712,Amazon Nest Hub Max Smart Home Device,Transform your home with the Amazon Nest Hub Max. Easy setup and seamless smart home integration.,485.23,0.93,0,https://images.bestbuy.com/marketplace/amazon-nest-hub-max-main.jpg,Connectivity: Wi-Fi | Voice_Assistant: Alexa | Power: USB-C,2024-08-01,2023-12-10,Yes,STALE_LISTING
45,BB-MKT-00335,S005,ConnectPro Sales,Laptops,Microsoft,Fire HD 10,MI-3048-WH,125143648433,0125143648433,"Microsoft Fire HD 10 12.4"" 512GB Tablet",Stay productive and entertained with the Microsoft Fire HD 10. Powerful performance in a sleek design.,910.33,0.86,358,https://images.bestbuy.com/marketplace/microsoft-fire-hd-10-main.jpg,"Storage_GB: 512 | Screen_Size: 12.4"" | Cellular: Yes | RAM_GB: 6",2024-08-10,2024-08-10,Yes,CATEGORY_MISMATCH
46,BB-MKT-00780,S003,PrimeElectronics,Headphones,JBL,Tour One,JB-8111-WH,279281185915,0279281185915,JBL Tour One In-ear Wired Headphones,Enjoy crystal-clear audio with the JBL Tour One. Perfect for music lovers and remote workers.,78.11,0.21,491,https://images.bestbuy.com/marketplace/jbl-tour-one-main.jpg,Type: In-ear | Connectivity: Wired | ANC: Yes | Battery_Hours: 24,2024-08-19,2024-08-19,Yes,DUPLICATE_SKU
47,BB-MKT-00781,S004,ValueTech Store,Laptops,MSI,Pavilion 15,MS-4036-BL,473971242576,0473971242576,"MSI Pavilion 15 16"" Laptop - 8GB RAM 512GB SSD",Experience premium performance with the MSI Pavilion 15. Designed for professionals and students alike.,798.29,1.53,423,https://images.bestbuy.com/marketplace/msi-pavilion-15-main.jpg,"RAM_GB: 8 | Storage_GB: 512 | Screen_Size: 16"" | Processor: Apple M2",2025-02-28,2025-02-28,Yes,
48,BB-MKT-00171,S001,TechDirect LLC,TVs,Sony,QLED 4K,SO-2260-SL,537317445811,0537317445811,"Sony 50"" 1080p Full HD Smart TV QLED 4K",Immerse yourself in stunning visuals with the Sony QLED 4K. Features cutting-edge display technology.,858.19,18.58,427,https://images.bestbuy.com/marketplace/sony-qled-4k-main.jpg,"Screen_Size: 50"" | Resolution: 1080p Full HD | Smart_TV: Yes | HDR: HDR10+",2025-01-16,2025-01-16,Yes,
49,BB-MKT-00740,S004,ValueTech Store,TVs,Samsung,5-Series 4K,SA-8418-WH,233656199806,0233656199806,"Samsung 65"" 4K UHD Smart TV 5-Series 4K",Immerse yourself in stunning visuals with the Samsung 5-Series 4K. Features cutting-edge display technology.,2504.37,34.01,121,https://images.bestbuy.com/marketplace/samsung-5-series-4k-main.jpg,"Screen_Size: 65"" | Resolution: 4K UHD | Smart_TV: No | HDR: Dolby Vision",2025-04-22,2025-04-22,Yes,
50,BB-MKT-00207,S007,SmartBuy Co,Laptops,Apple,Aspire 5,AP-4329-WH,658685143493,0841696827829,"Apple Aspire 5 13.3"" Laptop - 16GB RAM 512GB SSD",Experience premium performance with the Apple Aspire 5. Designed for professionals and students alike.,1525.42,1.83,324,https://images.bestbuy.com/marketplace/apple-aspire-5-main.jpg,"RAM_GB: 16 | Storage_GB: 512 | Screen_Size: 13.3"" | Processor: AMD Ryzen 5",2024-08-03,2024-08-03,Yes,GTIN_UPC_MISMATCH
51,BB-MKT-00296,S001,TechDirect LLC,Smart Home,Wyze,Learning Thermostat,WY-6633-WH,914962728298,0914962728298,Wyze Learning Thermostat Smart Home Device,Transform your home with the Wyze Learning Thermostat. Easy setup and seamless smart home integration.,222.95,1.0,262,https://images.bestbuy.com/marketplace/wyze-learning-thermostat-main.jpg,Connectivity: Wi-Fi | Voice_Assistant: Apple HomeKit | Power: Battery,2024-09-11,2024-09-11,Yes,
52,BB-MKT-00783,S008,DigitalHub USA,TVs,Samsung,U8K,SA-7396-SL,378434777669,0378434777669,"Samsung 75"" 8K Smart TV U8K",Immerse yourself in stunning visuals with the Samsung U8K. Features cutting-edge display technology.,503.82,46.34,495,https://images.bestbuy.com/marketplace/samsung-u8k-main.jpg,"Screen_Size: 75"" | Resolution: 8K | Smart_TV: Yes | HDR: HDR10",2024-11-25,2024-11-25,Yes,
53,BB-MKT-00825,S007,SmartBuy Co,Laptops,MSI,MacBook Air,MS-6932-WH,329860847179,0329860847179,"MSI MacBook Air 13.3"" Laptop - 32GB RAM 512GB SSD",Experience premium performance with the MSI MacBook Air. Designed for professionals and students alike.,2467.96,2.54,202,https://images.bestbuy.com/marketplace/msi-macbook-air-main.jpg,"RAM_GB: 32 | Storage_GB: 512 | Screen_Size: 13.3"" | Processor: Intel i5",2024-10-26,2024-10-26,Yes,
54,BB-MKT-00913,S008,DigitalHub USA,Smart Home,Arlo,Nest Hub Max,AR-3493-SL,595921470446,0595921470446,Arlo Nest Hub Max Smart Home Device,Transform your home with the Arlo Nest Hub Max. Easy setup and seamless smart home integration.,63.32,1.01,173,https://images.bestbuy.com/marketplace/arlo-nest-hub-max-main.jpg,Connectivity: Wi-Fi | Voice_Assistant: None | Power: Wired,2025-02-18,2025-02-18,Yes,
55,BB-MKT-00788,S003,PrimeElectronics,Tablets,Lenovo,Fire HD 10,LE-7024-SL,778163081324,0778163081324,"Lenovo Fire HD 10 8"" 128GB Tablet",Stay productive and entertained with the Lenovo Fire HD 10. Powerful performance in a sleek design.,371.69,0.56,29,https://images.bestbuy.com/marketplace/lenovo-fire-hd-10-main.jpg,"Storage_GB: 128 | Screen_Size: 8"" | Cellular: No | RAM_GB: 4",2024-10-30,2024-10-30,Yes,
56,BB-MKT-00226,S002,EliteGadgets Inc,TVs,Vizio,OLED C3,VI-7363-SL,980393840836,0980393840836,"Vizio 55"" 1080p Full HD Smart TV OLED C3",Immerse yourself in stunning visuals with the Vizio OLED C3. Features cutting-edge display technology.,3756.02,51.63,88,https://images.bestbuy.com/marketplace/vizio-oled-c3-main.jpg,"Screen_Size: 55"" | Resolution: 1080p Full HD | Smart_TV: Yes | HDR: HDR10",2024-09-29,2024-09-29,Yes,
57,BB-MKT-00828,S002,EliteGadgets Inc,Laptops,Dell,Aspire 5,DE-7408-WH,203731395415,0203731395415,"Dell Aspire 5 13.3"" Laptop - 64GB RAM 256GB SSD",Experience premium performance with the Dell Aspire 5. Designed for professionals and students alike.,2145.09,2.57,401,https://images.bestbuy.com/marketplace/dell-aspire-5-main.jpg,"RAM_GB: 64 | Storage_GB: 256 | Screen_Size: 13.3"" | Processor: Apple M2",2024-12-13,2024-12-13,Yes,
58,BB-MKT-00871,S004,ValueTech Store,TVs,Samsung,U8K,SA-5500-SL,574565755436,0574565755436,"Samsung 43"" 4K UHD Smart TV U8K",Immerse yourself in stunning visuals with the Samsung U8K. Features cutting-edge display technology.,3893.45,38.32,124,https://images.bestbuy.com/marketplace/samsung-u8k-main.jpg,"Screen_Size: 43"" | Resolution: 4K UHD | Smart_TV: Yes | HDR: HDR10+",2025-03-26,2025-03-26,Yes,
59,BB-MKT-00643,S004,ValueTech Store,Laptops,MSI,Katana 15,MS-3608-BK,997581118439,0763338558088,"MSI Katana 15 16"" Laptop - 16GB RAM 512GB SSD",Experience premium performance with the MSI Katana 15. Designed for professionals and students alike.,1549.68,1.74,347,https://images.bestbuy.com/marketplace/msi-katana-15-main.jpg,"RAM_GB: 16 | Storage_GB: 512 | Screen_Size: 16"" | Processor: AMD Ryzen 5",2025-02-28,2025-02-28,Yes,GTIN_UPC_MISMATCH
